FILE	    Coherence
m7c305r1.htb	25
m7c305r3.htb	100
m7c306r1.htb	25
m7c306r3.htb	100
m7c306r4.htb	50
m7c307r1.htb	25
m7c307r2.htb	10
m7c307r4.htb	100
m7c308r1.htb	25
m7c308r2.htb	100
m7c312r1.htb	25
m7c312r2.htb	100
m7c312r3.htb	50
m7c315r2.htb	25
m7c315r4.htb	100
m7c316r1.htb	100
m7c316r2.htb	25
m7c316r3.htb	50
m7c317r1.htb	100
m7c318r1.htb	100
m7c318r2.htb	25
m7c324r1.htb	100
m7c326r1.htb	100
m7c328r1.htb	100
m7c328r2.htb	50
m7c328r3.htb	25
m7c329r1.htb	100
m7c329r2.htb	50
m7c329r3.htb	25
m7c330r1.htb	100
m7c331r1.htb	100
m7c334r1.htb	100
m7c336r1.htb	100
m7c337r1.htb	100
m7c337r2.htb	50
m7c338r1.htb	100
m7c338r2.htb	50
m7c339r1.htb	100
m7c347r1.htb	100
m7c347r2.htb	50
m7c349r1.htb	100
m7c350r1.htb	100
m7c351r1.htb	100
m7c354r1.htb	100
m7c356r1.htb	100
m7c357r1.htb	100
m16c2r1.htb	100
m16c3r1.htb	100
m16c4r1.htb	100
m16c8r1.htb	100
m16c8r2.htb	50
m16c10r1.htb	100
m16c12r1.htb	100
m16c13r1.htb	100
m16c14r1.htb	100
m16c15r1.htb	100
m16c15r2.htb	50
m16c16r1.htb	100
m16c16r2.htb	50
m16c17r1.htb	100
m16c17r2.htb	50
m16c20r1.htb	100
m16c20r2.htb	50
m16c21r1.htb	100
m16c22r1.htb	100
m16c22r2.htb	50
m16c23r1.htb	100
m16c24r1.htb	100
m16c24r2.htb	50
m16c26r1.htb	100
m16c32r1.htb	100
m16c34r1.htb	100
m16c37r1.htb	100
m16c37r2.htb	50
m16c39r1.htb	100
m16c40r1.htb	100
m16c41r1.htb	100
m16c42r1.htb	100
m16c43r1.htb	100
m16c49r1.htb	100
m16c51r1.htb	100
m16c52r1.htb	100
m16c53r1.htb	100
m16c54r1.htb	100
m16c55r1.htb	100
m16c55r2.htb	50
m16c55r3.htb	25
m16c56r1.htb	100
m16c57r1.htb	100
m16c57r2.htb	50
m16c58r1.htb	100
m16c58r2.htb	50
m16c59r1.htb	100
m16c60r1.htb	100
m16c61r1.htb	100
m16c63r2.htb	100
m16c67r2.htb	100
m16c68r2.htb	100
m16c68r3.htb	50
m16c69r2.htb	100
m16c69r3.htb	50
m16c73r2.htb	100
m16c78r2.htb	100
m16c81r2.htb	100
m16c82r2.htb	100
m16c87r1.htb	100
m16c89r2.htb	100
m16c89r3.htb	50
m16c95r2.htb	100
m16c97r1.htb	100
m16c97r2.htb	50
m16c98r2.htb	100
m16c98r3.htb	50
m16c102r2.htb	100
m16c106r1.htb	100
m16c108r2.htb	100
m16c108r3.htb	50
m16c110r1.htb	100
m16c111r1.htb	100
m16c114r2.htb	100
m16c114r3.htb	50
m16c117r1.htb	100
m16c123r2.htb	100
m16c123r3.htb	50
m16c126r1.htb	100
m16c128r2.htb	100
m16c136r1.htb	100
m16c138r2.htb	100
m16c141r2.htb	100
m16c142r2.htb	100
m16c144r2.htb	100
m16c145r2.htb	100
m16c146r2.htb	100
m16c147r1.htb	100
m16c149r2.htb	100
m16c155r1.htb	100
m16c157r1.htb	100
m16c158r1.htb	100
m16c160r1.htb	100
m16c162r2.htb	100
m16c163r1.htb	100
m16c164r1.htb	100
m16c171r1.htb	100
m16c172r2.htb	100
m16c172r3.htb	50
m16c172r4.htb	25
m16c173r1.htb	100
m16c174r2.htb	100
m16c174r3.htb	50
m16c175r2.htb	100
m16c175r3.htb	50
m16c176r2.htb	100
m16c177r1.htb	100
m16c180r2.htb	100
m16c181r2.htb	100
m16c183r1.htb	100
m16c184r1.htb	100
m16c184r2.htb	50
