FILE	 p1comb	  p1Vest	p1Vis	 pAnova2Veb	 pVis	 pInteract	
m16c102r2ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.000	
m16c106r1ch1	 0.000	    0.002	      0.000	    0.046	 0.000	 0.995	
m16c108r2ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.584	
m16c108r3ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.965	
m16c10r1ch1	 0.000	    0.111	      0.000	    0.007	 0.000	 0.702	
m16c110r1ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.000	
m16c111r1ch1	 0.000	    0.001	      0.000	    0.000	 0.000	 0.146	
m16c114r2ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.000	
m16c114r3ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.002	
m16c117r1ch1	 0.000	    0.195	      0.000	    0.815	 0.000	 0.999	
m16c123r2ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.000	
m16c123r3ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.000	
m16c126r1ch1	 0.000	    0.094	      0.000	    0.000	 0.000	 0.001	
m16c128r2ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.000	
m16c12r1ch1	 0.000	    0.048	      0.000	    0.878	 0.000	 0.964	
m16c136r1ch1	 0.000	    0.008	      0.000	    0.098	 0.000	 0.944	
m16c138r2ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.604	
m16c13r1ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.221	
m16c141r2ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.005	
m16c142r2ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.332	
m16c144r2ch1	 0.000	    0.077	      0.013	    0.000	 0.001	 0.979	
m16c145r2ch1	 0.000	    0.009	      0.000	    0.000	 0.000	 0.000	
m16c146r2ch1	 0.000	    0.045	      0.000	    0.144	 0.000	 0.997	
m16c147r1ch1	 0.000	    0.499	      0.000	    0.000	 0.000	 0.611	
m16c149r2ch1	 0.000	    0.000	      0.578	    0.000	 0.000	 0.354	
m16c14r1ch1	 0.000	    0.675	      0.000	    0.322	 0.000	 0.088	
m16c155r1ch1	 0.000	    0.118	      0.000	    0.727	 0.000	 0.025	
m16c157r1ch1	 0.000	    0.000	      0.000	    0.361	 0.000	 0.721	
m16c158r1ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.000	
m16c15r1ch1	 0.000	    0.408	      0.000	    0.007	 0.000	 0.346	
m16c15r2ch1	 0.110	    0.631	      0.250	    0.002	 0.001	 0.941	
m16c160r1ch1	 0.000	    0.000	      0.000	    0.001	 0.000	 0.934	
m16c162r2ch1	 0.831	    0.000	      0.942	    0.101	 0.837	 0.898	
m16c163r1ch1	 0.000	    0.000	      0.015	    0.000	 0.000	 0.944	
m16c164r1ch1	 0.000	    0.010	      0.001	    0.000	 0.000	 0.793	
m16c16r1ch1	 0.000	    0.000	      0.000	    0.011	 0.000	 0.250	
m16c16r2ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.004	
m16c171r1ch1	 0.000	    0.000	      0.004	    0.000	 0.000	 0.010	
m16c172r2ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.001	
m16c172r3ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.764	
m16c172r4ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.275	
m16c173r1ch1	 0.000	    0.208	      0.000	    0.402	 0.000	 0.939	
m16c174r2ch1	 0.000	    0.002	      0.000	    0.001	 0.000	 0.136	
m16c174r3ch1	 0.000	    0.310	      0.000	    0.003	 0.000	 0.952	
m16c175r2ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.000	
m16c175r3ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.000	
m16c176r2ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.037	
m16c177r1ch1	 0.000	    0.779	      0.090	    0.000	 0.000	 0.436	
m16c17r1ch1	 0.000	    0.204	      0.000	    0.000	 0.000	 0.151	
m16c17r2ch1	 0.000	    0.357	      0.013	    0.325	 0.000	 0.209	
m16c180r2ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.015	
m16c181r2ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.121	
m16c183r1ch1	 0.000	    0.146	      0.000	    0.000	 0.000	 0.333	
m16c184r1ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.050	
m16c184r2ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.282	
m16c20r1ch1	 0.000	    0.001	      0.000	    0.001	 0.000	 0.001	
m16c20r2ch1	 0.000	    0.011	      0.000	    0.000	 0.000	 0.044	
m16c21r1ch1	 0.000	    0.974	      0.000	    0.038	 0.000	 0.989	
m16c22r1ch1	 0.000	    0.007	      0.000	    0.120	 0.000	 0.788	
m16c22r2ch1	 0.000	    0.009	      0.000	    0.005	 0.000	 0.373	
m16c23r1ch1	 0.000	    0.675	      0.000	    0.011	 0.000	 0.112	
m16c24r1ch1	 0.000	    0.368	      0.002	    0.431	 0.000	 0.601	
m16c24r2ch1	 0.045	    0.600	      0.168	    0.017	 0.000	 0.849	
m16c26r1ch1	 0.000	    0.842	      0.000	    0.000	 0.000	 0.415	
m16c2r1ch1	 0.000	    0.120	      0.000	    0.718	 0.000	 1.000	
m16c32r1ch1	 0.000	    0.584	      0.003	    0.377	 0.000	 0.898	
m16c34r1ch1	 0.000	    0.216	      0.000	    0.299	 0.000	 0.916	
m16c37r1ch1	 0.000	    0.009	      0.000	    0.123	 0.000	 0.444	
m16c37r2ch1	 0.182	    0.293	      0.092	    0.242	 0.002	 0.669	
m16c39r1ch1	 0.006	    0.432	      0.045	    0.059	 0.000	 0.913	
m16c3r1ch1	 0.000	    0.675	      0.000	    0.000	 0.000	 0.002	
m16c40r1ch1	 0.513	    0.268	      0.014	    0.045	 0.537	 0.740	
m16c41r1ch1	 0.000	    0.242	      0.000	    0.013	 0.000	 0.562	
m16c42r1ch1	 0.000	    0.162	      0.001	    0.096	 0.000	 0.890	
m16c43r1ch1	 0.000	    0.163	      0.000	    0.206	 0.000	 0.032	
m16c49r1ch1	 0.000	    0.061	      0.012	    0.022	 0.000	 0.124	
m16c4r1ch1	 0.000	    0.563	      0.000	    0.680	 0.000	 0.182	
m16c51r1ch1	 0.001	    0.251	      0.030	    0.154	 0.000	 0.462	
m16c52r1ch1	 0.000	    0.428	      0.000	    0.240	 0.000	 1.000	
m16c53r1ch1	 0.999	    0.162	      0.751	    0.908	 0.851	 0.996	
m16c54r1ch1	 0.265	    0.311	      0.001	    0.001	 0.001	 0.997	
m16c55r1ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.000	
m16c55r2ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.000	
m16c55r3ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.258	
m16c56r1ch1	 0.000	    0.000	      0.765	    0.000	 0.001	 0.580	
m16c57r1ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.000	
m16c57r2ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.739	
m16c58r1ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.000	
m16c58r2ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.020	
m16c59r1ch1	 0.000	    0.095	      0.000	    0.417	 0.000	 0.407	
m16c60r1ch1	 0.000	    0.448	      0.038	    0.065	 0.000	 0.932	
m16c61r1ch1	 0.000	    0.581	      0.000	    0.000	 0.000	 0.189	
m16c63r2ch1	 0.000	    0.017	      0.000	    0.000	 0.000	 0.926	
m16c67r2ch1	 0.000	    0.003	      0.000	    0.831	 0.000	 1.000	
m16c68r2ch1	 0.000	    0.000	      0.000	    0.003	 0.000	 0.001	
m16c68r3ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.000	
m16c69r2ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.003	
m16c69r3ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.000	
m16c73r2ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.000	
m16c78r2ch1	 0.000	    0.027	      0.000	    0.443	 0.000	 1.000	
m16c81r2ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.000	
m16c82r2ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.000	
m16c87r1ch1	 0.000	    0.001	      0.000	    0.000	 0.000	 0.769	
m16c89r2ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.614	
m16c89r3ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.716	
m16c8r1ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.000	
m16c8r2ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.357	
m16c95r2ch1	 0.000	    0.000	      0.001	    0.000	 0.000	 0.952	
m16c97r1ch1	 0.000	    0.001	      0.000	    0.862	 0.000	 0.974	
m16c97r2ch1	 0.004	    0.012	      0.093	    0.073	 0.000	 0.144	
m16c98r2ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.008	
m16c98r3ch1	 0.000	    0.035	      0.024	    0.000	 0.000	 0.963	
m7c305r1ch1	 0.000	    0.002	      0.068	    0.000	 0.002	 0.404	
m7c305r3ch1	 0.000	    0.001	      0.001	    0.000	 0.000	 0.751	
m7c306r1ch1	 0.000	    0.000	      0.099	    0.000	 0.062	 0.413	
m7c306r3ch1	 0.000	    0.000	      0.007	    0.000	 0.000	 0.888	
m7c306r4ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.218	
m7c307r1ch1	 0.362	    0.117	      0.575	    0.348	 0.721	 0.297	
m7c307r2ch1	 0.517	    0.948	      0.133	    0.213	 0.038	 0.854	
m7c307r4ch1	 0.000	    0.001	      0.002	    0.227	 0.000	 0.245	
m7c308r1ch1	 0.244	    0.308	      0.968	    0.906	 0.519	 0.121	
m7c308r2ch1	 0.000	    0.358	      0.000	    0.011	 0.000	 0.556	
m7c312r1ch1	 0.000	    0.071	      0.128	    0.000	 0.000	 0.684	
m7c312r2ch1	 0.000	    0.050	      0.000	    0.000	 0.000	 0.000	
m7c312r3ch1	 0.000	    0.770	      0.000	    0.000	 0.000	 0.002	
m7c315r2ch1	 0.009	    0.026	      0.404	    0.000	 0.475	 0.805	
m7c315r4ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.000	
m7c316r1ch1	 0.000	    0.356	      0.000	    0.015	 0.000	 0.753	
m7c316r2ch1	 0.031	    0.311	      0.867	    0.004	 0.000	 0.795	
m7c316r3ch1	 0.000	    0.124	      0.488	    0.032	 0.000	 0.028	
m7c317r1ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.179	
m7c318r1ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.000	
m7c318r2ch1	 0.000	    0.000	      0.009	    0.000	 0.000	 0.984	
m7c324r1ch1	 0.853	    0.894	      0.145	    0.481	 0.781	 0.817	
m7c326r1ch1	 0.000	    0.004	      0.000	    0.000	 0.000	 0.025	
m7c328r1ch1	 0.983	    0.058	      0.754	    0.764	 0.979	 0.936	
m7c328r2ch1	 0.138	    0.992	      0.109	    0.638	 0.016	 0.284	
m7c328r3ch1	 0.054	    0.200	      0.384	    0.007	 0.097	 0.311	
m7c329r1ch1	 0.000	    0.000	      0.000	    0.001	 0.000	 0.002	
m7c329r2ch1	 0.000	    0.138	      0.002	    0.000	 0.000	 0.250	
m7c329r3ch1	 0.997	    0.106	      0.425	    0.765	 0.986	 0.988	
m7c330r1ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.689	
m7c331r1ch1	 0.221	    0.237	      0.489	    0.125	 0.075	 0.504	
m7c334r1ch1	 0.000	    0.567	      0.000	    0.000	 0.000	 0.984	
m7c336r1ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 0.679	
m7c337r1ch1	 0.112	    0.000	      0.282	    0.001	 0.178	 0.636	
m7c337r2ch1	 0.604	    0.000	      0.204	    0.394	 0.647	 0.568	
m7c338r1ch1	 0.997	    0.578	      0.400	    0.418	 0.815	 0.998	
m7c338r2ch1	 0.001	    0.423	      0.958	    0.009	 0.076	 0.007	
m7c339r1ch1	 0.946	    0.113	      0.780	    0.494	 0.824	 0.925	
m7c347r1ch1	 0.613	    0.046	      0.261	    0.028	 0.950	 0.757	
m7c347r2ch1	 0.012	    0.281	      0.074	    0.320	 0.000	 0.984	
m7c349r1ch1	 0.000	    0.557	      0.000	    0.000	 0.000	 0.216	
m7c350r1ch1	 0.000	    0.000	      0.000	    0.000	 0.000	 1.000	
m7c351r1ch1	 0.000	    0.343	      0.017	    0.000	 0.000	 0.799	
m7c354r1ch1	 0.134	    0.060	      0.060	    0.000	 0.002	 0.987	
m7c356r1ch1	 0.014	    0.001	      0.000	    0.071	 0.000	 0.881	
m7c357r1ch1	 0.000	    0.002	      0.001	    0.000	 0.000	 0.995	
